task,metric,delta_mean,ci_low,ci_high,prob_gt_zero
esr1_binding,pr_auc,0.04948133808201361,0.01805656513438934,0.08089334691823376,0.999
esr1_binding,roc_auc,0.002454270686462319,-0.021580448708635614,0.025997559426446427,0.586
esr1_binding,balanced_accuracy,0.10156992275978427,0.07883286150091531,0.12445674195275826,1.0
esr1_binding,f1,0.15947204089736527,0.11073462698847279,0.2079089453232338,1.0
esr1_binding,p_at_5,0.054227272727272735,-0.018181818181818188,0.12121212121212122,0.9235
esr1_binding,p_at_10,0.06051367781155016,0.018237082066869303,0.10334346504559272,0.997
esr1_binding,ef_at_5,0.41885183190057795,-0.1407058823529406,0.9403223439507675,0.9235
ar_binding,pr_auc,0.09784335112892723,0.06419791400110049,0.13181725251898568,1.0
ar_binding,roc_auc,0.043321768473530343,0.026358699240073048,0.05958286156518078,1.0
ar_binding,balanced_accuracy,0.1430890068154959,0.1226716558337113,0.16503016492213854,1.0
ar_binding,f1,0.234867603409,0.19295707237149526,0.27993737852924366,1.0
ar_binding,p_at_5,0.16246341463414632,0.07926829268292679,0.24390243902439024,0.9995
ar_binding,p_at_10,0.1339954268292683,0.07621951219512202,0.18902439024390238,1.0
ar_binding,ef_at_5,0.7890272016738613,0.37478717769475406,1.187599331897968,0.9995
