task,model,bin_lower,bin_upper,n,mean_score,empirical_positive_rate,abs_gap
ar_binding,hybrid,0.0,0.1,734,0.046404306104980066,0.025885558583106268,0.020518747521873798
ar_binding,hybrid,0.1,0.2,443,0.16090001320596742,0.07674943566591422,0.0841505775400532
ar_binding,hybrid,0.2,0.30000000000000004,528,0.24608865467775048,0.11174242424242424,0.13434623043532623
ar_binding,hybrid,0.30000000000000004,0.4,354,0.346156852982812,0.1807909604519774,0.1653658925308346
ar_binding,hybrid,0.4,0.5,237,0.4495001498153944,0.22784810126582278,0.2216520485495716
ar_binding,hybrid,0.5,0.6000000000000001,213,0.5457757504333353,0.2347417840375587,0.3110339663957766
ar_binding,hybrid,0.6000000000000001,0.7000000000000001,163,0.6513645839106086,0.31901840490797545,0.33234617900263314
ar_binding,hybrid,0.7000000000000001,0.8,158,0.754509133628652,0.379746835443038,0.374762298185614
ar_binding,hybrid,0.8,0.9,204,0.854688091897497,0.5196078431372549,0.335080248760242
ar_binding,hybrid,0.9,1.0,239,0.9474867283050984,0.7405857740585774,0.206900954246521
ar_binding,rf,0.0,0.1,468,0.06679751996965938,0.04487179487179487,0.021925725097864508
ar_binding,rf,0.1,0.2,888,0.14631881945636752,0.0731981981981982,0.07312062125816932
ar_binding,rf,0.2,0.30000000000000004,896,0.24849073551104803,0.18415178571428573,0.0643389497967623
ar_binding,rf,0.30000000000000004,0.4,528,0.34606713000728373,0.3352272727272727,0.010839857280011023
ar_binding,rf,0.4,0.5,262,0.43912007720620605,0.41603053435114506,0.023089542855060985
ar_binding,rf,0.5,0.6000000000000001,139,0.5441473545045392,0.5251798561151079,0.018967498389431348
ar_binding,rf,0.6000000000000001,0.7000000000000001,65,0.6467434723278082,0.6,0.04674347232780818
ar_binding,rf,0.7000000000000001,0.8,16,0.7503916479809452,0.9375,0.18710835201905485
ar_binding,rf,0.8,0.9,9,0.8286603615750511,1.0,0.17133963842494893
ar_binding,rf,0.9,1.0,2,0.9259472492267461,1.0,0.0740527507732539
esr1_binding,hybrid,0.0,0.1,541,0.06467581107565189,0.05730129390018484,0.007374517175467048
esr1_binding,hybrid,0.1,0.2,921,0.14718157386287933,0.05863192182410423,0.0885496520387751
esr1_binding,hybrid,0.2,0.30000000000000004,625,0.2451229061126709,0.1056,0.1395229061126709
esr1_binding,hybrid,0.30000000000000004,0.4,389,0.34505387075762517,0.10025706940874037,0.24479680134888482
esr1_binding,hybrid,0.4,0.5,235,0.4446722346417447,0.14893617021276595,0.29573606442897876
esr1_binding,hybrid,0.5,0.6000000000000001,163,0.5492438158374623,0.09815950920245399,0.4510843066350083
esr1_binding,hybrid,0.6000000000000001,0.7000000000000001,116,0.6484876480595819,0.2413793103448276,0.4071083377147543
esr1_binding,hybrid,0.7000000000000001,0.8,105,0.7486632562818981,0.34285714285714286,0.40580611342475525
esr1_binding,hybrid,0.8,0.9,90,0.853098828262753,0.4,0.45309882826275294
esr1_binding,hybrid,0.9,1.0,104,0.9532152402859467,0.8076923076923077,0.14552293259363902
esr1_binding,rf,0.0,0.1,1221,0.06067642193968567,0.04832104832104832,0.012355373618637353
esr1_binding,rf,0.1,0.2,1347,0.14162686335804706,0.12175204157386786,0.019874821784179195
esr1_binding,rf,0.2,0.30000000000000004,498,0.236033752958426,0.15863453815261044,0.07739921480581555
esr1_binding,rf,0.30000000000000004,0.4,97,0.340479707157744,0.3402061855670103,0.000273521590733683
esr1_binding,rf,0.4,0.5,50,0.44896878073861485,0.6,0.15103121926138513
esr1_binding,rf,0.5,0.6000000000000001,38,0.552977076188022,0.7105263157894737,0.15754923960145162
esr1_binding,rf,0.6000000000000001,0.7000000000000001,17,0.6504901960784314,0.9411764705882353,0.2906862745098039
esr1_binding,rf,0.7000000000000001,0.8,13,0.746979732519853,0.6923076923076923,0.054672040212160655
esr1_binding,rf,0.8,0.9,3,0.8662232945640519,1.0,0.1337767054359481
esr1_binding,rf,0.9,1.0,5,0.9183333333333333,1.0,0.08166666666666667
