task,fold_id,model,pr_auc,roc_auc,balanced_accuracy,f1,brier,precision_at_5pct,precision_at_10pct,enrichment_factor_5pct
ar_binding,scaffold_holdout_01,hybrid,0.7738655918078661,0.9022615315718764,0.8076578593819973,0.684931506849315,0.15124753208465497,0.9090909090909091,0.9090909090909091,3.322884012539185
ar_binding,scaffold_holdout_01,rf,0.592563080344272,0.7859381997313031,0.6065830721003135,0.375,0.15795617264802705,0.7272727272727273,0.6818181818181818,2.658307210031348
ar_binding,scaffold_holdout_01,readacross_knn1,0.30040338321405335,0.5512763098969995,0.5512763098969996,0.3333333333333333,0.33962264150943394,0.45454545454545453,0.36363636363636365,1.6614420062695925
ar_binding,scaffold_holdout_01,readacross_knn5,0.3658310454137704,0.6247760859829825,0.5438871473354232,0.2826086956521739,0.22771916902859618,0.36363636363636365,0.2727272727272727,1.329153605015674
ar_binding,scaffold_holdout_01,readacross_knn10,0.4146269261548232,0.6330609046126288,0.5428795342588446,0.25882352941176473,0.20594937978358852,0.45454545454545453,0.4090909090909091,1.6614420062695925
ar_binding,scaffold_holdout_02,hybrid,0.6425533539006352,0.8239099859353023,0.7137974683544304,0.5359477124183006,0.21723340161114196,0.84375,0.7142857142857143,3.51
ar_binding,scaffold_holdout_02,rf,0.44165765292443704,0.7160829817158931,0.5648523206751055,0.2731707317073171,0.16570099076963749,0.59375,0.5079365079365079,2.4699999999999998
ar_binding,scaffold_holdout_02,readacross_knn1,0.265423076923077,0.5549367088607595,0.5549367088607595,0.35,0.375,0.3125,0.36507936507936506,1.3
ar_binding,scaffold_holdout_02,readacross_knn5,0.29421249634469115,0.5662517580872012,0.56957805907173,0.35331230283911674,0.24026282489787085,0.3125,0.31746031746031744,1.3
ar_binding,scaffold_holdout_02,readacross_knn10,0.32060973245091445,0.5809071729957805,0.5683966244725738,0.3391003460207612,0.21301132287017815,0.4375,0.38095238095238093,1.82
ar_binding,scaffold_holdout_03,hybrid,0.6079066176163246,0.8298417360091369,0.7383015173764073,0.5480769230769231,0.2175259752163973,0.7666666666666667,0.6949152542372882,3.3449382716049385
ar_binding,scaffold_holdout_03,rf,0.5056816042325317,0.7535405449502366,0.5882852015010606,0.3163841807909605,0.15277376414428043,0.6666666666666666,0.6101694915254238,2.9086419753086417
ar_binding,scaffold_holdout_03,readacross_knn1,0.254593664446034,0.5569260890846794,0.5569260890846794,0.3433734939759036,0.3701188455008489,0.23333333333333334,0.3220338983050847,1.0180246913580246
ar_binding,scaffold_holdout_03,readacross_knn5,0.289188999385088,0.5877712514276392,0.5400146842878121,0.3050847457627119,0.2445857131640773,0.4,0.3389830508474576,1.7451851851851854
ar_binding,scaffold_holdout_03,readacross_knn10,0.31150467315835223,0.5902349486049927,0.5546337085984663,0.315018315018315,0.21594271409728963,0.36666666666666664,0.3559322033898305,1.599753086419753
ar_binding,scaffold_holdout_04,hybrid,0.6504378489780093,0.8555409663865546,0.7314666491596639,0.5800865800865801,0.10100326123665805,0.8648648648648649,0.6986301369863014,4.885135135135135
ar_binding,scaffold_holdout_04,rf,0.5308316777666188,0.820108981092437,0.5914784663865547,0.3132530120481928,0.11595792494805857,0.7027027027027027,0.6027397260273972,3.9691722972972974
ar_binding,scaffold_holdout_04,readacross_knn1,0.19244066515022745,0.5408744747899159,0.5408744747899159,0.2585034013605442,0.301521438450899,0.2702702702702703,0.2602739726027397,1.5266047297297298
ar_binding,scaffold_holdout_04,readacross_knn5,0.24433185170094684,0.577140231092437,0.5583639705882353,0.2631578947368421,0.1872821277423546,0.32432432432432434,0.3013698630136986,1.8319256756756757
ar_binding,scaffold_holdout_04,readacross_knn10,0.28856134453784116,0.5991530987394957,0.5444655987394957,0.22439024390243903,0.1655073835940379,0.35135135135135137,0.2876712328767123,1.9845861486486487
ar_binding,scaffold_holdout_05,hybrid,0.5553043811351224,0.7961188818632773,0.6660359583572842,0.455,0.14313585905451934,0.8070175438596491,0.6460176991150443,4.450464396284829
ar_binding,scaffold_holdout_05,rf,0.4731163940833996,0.7817137169743034,0.5825748866321773,0.2949640287769784,0.1254313747479383,0.631578947368421,0.5221238938053098,3.4829721362229096
ar_binding,scaffold_holdout_05,readacross_knn1,0.20281465038845728,0.5548955738647251,0.554895573864725,0.29118773946360155,0.3288888888888889,0.24561403508771928,0.22123893805309736,1.3544891640866872
ar_binding,scaffold_holdout_05,readacross_knn5,0.26368356515670455,0.6054560260586318,0.5680925464648401,0.29577464788732394,0.19648153615326433,0.38596491228070173,0.3185840707964602,2.1284829721362226
ar_binding,scaffold_holdout_05,readacross_knn10,0.29058633542268625,0.5935284537267675,0.5699527367950438,0.2936708860759494,0.18121403230792302,0.38596491228070173,0.34513274336283184,2.1284829721362226
esr1_binding,scaffold_holdout_01,hybrid,0.3446475820664759,0.7223780582826866,0.5769050958391772,0.26153846153846155,0.09964459016227777,0.45,0.3924050632911392,3.7887096774193547
esr1_binding,scaffold_holdout_01,rf,0.2326767254004396,0.658796945613215,0.521505376344086,0.08247422680412371,0.09971786809244407,0.2,0.20253164556962025,1.6838709677419355
esr1_binding,scaffold_holdout_01,readacross_knn1,0.11702228873186213,0.4907900888265545,0.49079008882655445,0.12931034482758622,0.25798212005108556,0.15,0.12658227848101267,1.2629032258064514
esr1_binding,scaffold_holdout_01,readacross_knn5,0.12043388319982092,0.5107838553841358,0.48733052828424495,0.07453416149068323,0.1525126492744511,0.125,0.08860759493670886,1.0524193548387097
esr1_binding,scaffold_holdout_01,readacross_knn10,0.13293947270995743,0.5173289699236404,0.5006778868630201,0.09271523178807947,0.144946176278524,0.125,0.12658227848101267,1.0524193548387097
esr1_binding,scaffold_holdout_02,hybrid,0.6096889071920091,0.8166413373860182,0.7353596757852077,0.5182186234817814,0.12715064661784317,0.8780487804878049,0.6951219512195121,6.405052264808363
esr1_binding,scaffold_holdout_02,rf,0.46626615927651033,0.754774569402229,0.573055977710233,0.2556390977443609,0.09735291383948733,0.7317073170731707,0.5487804878048781,5.337543554006969
esr1_binding,scaffold_holdout_02,readacross_knn1,0.16054152584391848,0.5620060790273556,0.5620060790273556,0.24806201550387597,0.23745410036719705,0.21951219512195122,0.2073170731707317,1.6012630662020908
esr1_binding,scaffold_holdout_02,readacross_knn5,0.18781694839029567,0.5671922492401216,0.545105116514691,0.20320855614973263,0.1547017137617203,0.34146341463414637,0.2682926829268293,2.4908536585365857
esr1_binding,scaffold_holdout_02,readacross_knn10,0.188511771634732,0.5671162613981763,0.5411410840932117,0.19101123595505617,0.1459099931168597,0.2682926829268293,0.24390243902439024,1.9570993031358888
esr1_binding,scaffold_holdout_03,hybrid,0.6314521396583116,0.845413994981879,0.7340395873989406,0.40875912408759124,0.20580892202571852,0.9230769230769231,0.68,6.65158371040724
esr1_binding,scaffold_holdout_03,rf,0.5336245318227696,0.8413019236130471,0.6546557011430164,0.4583333333333333,0.09046183293322967,0.8461538461538461,0.6,6.097285067873303
esr1_binding,scaffold_holdout_03,readacross_knn1,0.18753080179440199,0.5977836632283244,0.5977836632283245,0.3055555555555556,0.20408163265306123,0.23076923076923078,0.24,1.66289592760181
esr1_binding,scaffold_holdout_03,readacross_knn5,0.20749007739075928,0.5894898243657652,0.5579174797881238,0.23333333333333334,0.15369174571871475,0.38461538461538464,0.28,2.7714932126696836
esr1_binding,scaffold_holdout_03,readacross_knn10,0.2253113025919199,0.6145107332032338,0.5503206021745191,0.21428571428571427,0.1393359949082558,0.3076923076923077,0.32,2.2171945701357467
esr1_binding,scaffold_holdout_04,hybrid,0.5310753499132242,0.7622835279903343,0.6908309840247013,0.4067796610169492,0.210940781861645,0.7941176470588235,0.6323529411764706,5.169400452488687
esr1_binding,scaffold_holdout_04,rf,0.5187337563403649,0.8074993287689622,0.5900456437105652,0.3053435114503817,0.10239160659920934,0.6470588235294118,0.6176470588235294,4.21210407239819
esr1_binding,scaffold_holdout_04,readacross_knn1,0.18579613462355615,0.5770908846825078,0.5770908846825077,0.288,0.26292466765140327,0.29411764705882354,0.25,1.9145927601809956
esr1_binding,scaffold_holdout_04,readacross_knn5,0.25430624331545126,0.6338350785340314,0.5687088870989394,0.26595744680851063,0.1623643172009365,0.4117647058823529,0.3382352941176471,2.6804298642533935
esr1_binding,scaffold_holdout_04,readacross_knn10,0.26045655147588137,0.6006762652705061,0.5765622902403007,0.27932960893854747,0.15582439663017067,0.4411764705882353,0.3235294117647059,2.871889140271493
esr1_binding,scaffold_holdout_05,hybrid,0.34174933224214693,0.7080470001780309,0.5910361402884102,0.2814814814814815,0.1019978143274482,0.46153846153846156,0.2727272727272727,4.317073170731708
esr1_binding,scaffold_holdout_05,rf,0.2556312549086282,0.6611002314402706,0.5473206337902795,0.17391304347826086,0.0898137276120612,0.3076923076923077,0.23376623376623376,2.878048780487805
esr1_binding,scaffold_holdout_05,readacross_knn1,0.10274242937229587,0.47025102367811994,0.47025102367812,0.10212765957446808,0.27509778357235987,0.05128205128205128,0.05194805194805195,0.4796747967479675
esr1_binding,scaffold_holdout_05,readacross_knn5,0.11722932192463827,0.49716930745949794,0.5086345024034182,0.1103448275862069,0.14653725748848137,0.20512820512820512,0.11688311688311688,1.91869918699187
esr1_binding,scaffold_holdout_05,readacross_knn10,0.13973957247554675,0.5124265622218267,0.5144739184618123,0.11678832116788321,0.13510114075408938,0.1794871794871795,0.14285714285714285,1.6788617886178863
