task,model,folds,pr_auc_mean,pr_auc_std,roc_auc_mean,brier_mean,precision_at_5pct_mean,precision_at_10pct_mean,enrichment_factor_5pct_mean,balanced_accuracy_mean,f1_mean
ar_binding,hybrid,5,0.6460135586875915,0.0807124271484629,0.8415346203532295,0.16602920584067432,0.8382779968964179,0.7325879427430515,3.9026843631128174,0.7314518905259566,0.5608085444862237
ar_binding,rf,5,0.5087700818702519,0.05764716574275315,0.7714768848928346,0.14356404545158835,0.6643942088021035,0.5849575602225641,3.097818723772039,0.5867547894590424,0.31455439066468976
ar_binding,readacross_knn10,5,0.32517780234492344,0.05183218604505811,0.599376915735933,0.19632496653060344,0.39920567696883485,0.35575589393453294,1.8388528426948434,0.5560656405728849,0.2862006640858459
ar_binding,readacross_knn5,5,0.2914495916002402,0.046196261290512006,0.5922790705297784,0.21926627419723266,0.35728512004827795,0.3098249149690413,1.6669494876025517,0.5559872815496082,0.2999876573756337
ar_binding,readacross_knn1,5,0.2431350880243698,0.04500936918683328,0.5517818312994158,0.34303036287001415,0.3032526186473555,0.3064525075353301,1.372112118288807,0.5517818312994158,0.3152795936266765
esr1_binding,hybrid,5,0.49172266221443356,0.14063434391487709,0.7709527837637898,0.14910855099898654,0.7013563624324026,0.534521445682879,5.26636385517107,0.6656342966672874,0.37535547032125294
esr1_binding,rf,5,0.40138648554974254,0.14592311788737117,0.7446945997675447,0.09594758981528632,0.5465224588897473,0.44054508519285235,4.041770488501641,0.577316666539636,0.25514064256209207
esr1_binding,readacross_knn10,5,0.18939173417760752,0.05475717526791328,0.5624117584034767,0.14422354033757992,0.26432972813891037,0.23137425442545032,1.9554928313999447,0.5366351563665728,0.1788260224270561
esr1_binding,readacross_knn5,5,0.1774552948441931,0.05872420605632922,0.5596940629967104,0.15396153668886078,0.29359434205201784,0.21840373777286043,2.1827790554580484,0.5335393028178835,0.17747566507369333
esr1_binding,readacross_knn1,5,0.15072663607320694,0.03911270741919794,0.5395843478885725,0.24750806085902138,0.18913622484641138,0.17516948071995925,1.3842659553078631,0.5395843478885725,0.2146111150922972
