split,method,rmse,pearson,spearman
cold_drug,deepdta_style,0.9597025350754516,0.4669776114596592,0.4965799506471143
cold_drug,rf,1.016127304089671,0.3298683220770019,0.3038296328979564
cold_drug,seq_cross_attention,1.038145142729149,0.0866460977845242,0.0620334400715964
cold_drug,bilinear,1.8818378091570511,0.3983871316926536,0.316195623090058
cold_drug,concat_mlp,2.579386298638653,0.3205542066496432,0.2197066908251602
cold_target,rf,0.7113756333065601,0.5286726039919095,0.4905721243950961
cold_target,deepdta_style,0.7489616981821308,0.458390580870234,0.4418524260837981
cold_target,seq_cross_attention,0.7549780142450712,0.455268652633939,0.4344479972916194
cold_target,concat_mlp,0.77918243723818,0.445917784925989,0.4137733024342203
cold_target,bilinear,0.8369422363810155,0.3942162141452174,0.363768624090317
